doc_id,context,question,ratings,hypo_answers
boxing,"Brief Overview of the Rules

Olympic boxing is governed by a special set of rules. Only amateur boxers are allowed to compete, which means the Olympic Games are often the starting point of a glittering career for some of the biggest names in the sport, including none other than Muhammad Ali. Competing as Cassius Clay (he changed his name in 1964), Ali won light heavyweight gold at the 1960 Olympics in Rome.

Between 1984 and 2012, male boxers were required to wear protective headgear, but the rule was abandoned for the 2016 Rio Games (female boxers are still required to wear head guards). Each bout is disputed over three rounds of three minutes each for men, and four rounds of two minutes each for women. At the end of every round, each of the judges determine a winner based on the judging criteria and award the victor 10 points for the round. The loser of the round can be awarded anywhere between seven to nine points based on the level of performance in that round. After the bout ends, each judge adds up the round scores to determine a final winner.",What was the rule change regarding the wearing of protective headgear for male boxers in Olympic boxing between 1984 and 2016?,5,"The rule change regarding the wearing of protective headgear for male boxers in Olympic boxing between 1984 and 2016 was that in 2013, the International Boxing Association (AIBA) decided to remove the mandatory rule of wearing headgear for male boxers during competition, with the intention of reducing the risk of concussion and other injuries. This change was implemented in the 2016 Rio Olympics."
boxing,"Olympic History

Boxing made its debut at the modern Olympic Games in 1904, and has been contested at every Summer Games since—save for the 1912 Olympics in Stockholm, as Swedish law banned the sport at the time. Women’s boxing was first introduced to the Olympic programme at London 2012. The USA swept the podium at the 1904 Games in St Louis as it was the only NOC to compete in the event! Team USA athletes have continued to achieve Olympic success in the sport (winning 117 medals), with competitors from Cuba (78 medals) and Great Britain (62 medals) also performing well.",When was women's boxing first introduced to the Olympic programme?,3,Women's boxing was first introduced to the Olympic programme in the 2012 Summer Olympics in London.
rollerspeedskating,"Roller speed skating is a fast-paced discipline, with some athletes reaching speeds of up to 50km per hour.",What is the maximum speed that some athletes can reach in roller speed skating?,5,The maximum speed that some athletes can reach in roller speed skating is around 30-35 miles per hour.
rollerspeedskating,"The Basics

Roller speed skating events are usually held on outdoor — and occasionally indoor — rinks with banked walls or on closed road circuits. A maximum of five wheels are allowed on the inline skates athletes wear, and wheels cannot exceed diameters of 110mm. For marathons only, skates can have 125mm diameter wheels. No brakes are allowed. The constant jostling for a favourable position combined with the mass start, velodrome-like walls and 200m track make for thrilling competitions often decided by photo finishes.",What is the maximum diameter allowed for the wheels on inline skates for roller speed skating events?,5,The maximum diameter allowed for the wheels on inline skates for roller speed skating events is 110mm.
rollerspeedskating,"Official

The first Roller Speed Skating World Championship was held in Monza, Italy, in 1937. The following year, London hosted the 1938 Track Roller Speed Skating World Championship. At the Olympic Summer Games Barcelona 1992, rink hockey, played on quad skates, was a demonstration sport. It marked the first time athletes on roller skates competed on the Olympic stage.",What kind of skating was demonstrated as a sport for the first time at the Olympic Summer Games Barcelona 1992?,3,Roller hockey.
rollerspeedskating,"Combined Challenge

In roller speed skating, 14 athletes in each gender category (men’s and women’s) compete in three required events — 500m, 1,000m and the 5,000m elimination— to earn points for a total combined score. The winner of each race is awarded 14 points, with each subsequent finisher earning one less point down to one point for 14th place. The final rankings are decided by the total number of points each skater accumulates over the three events.",How is the final rankings in roller speed skating's combined challenge determined?,5,The final rankings in roller speed skating's combined challenge are determined by a point system that awards points based on finishing position in each individual event. The skater with the highest total points at the end of all the events is declared the overall winner.
rollerspeedskating,"Olympic History

Roller speed skating first appeared on the Olympic stage as a demonstration sport at the Summer Youth Olympic Games Nanjing 2014. After it was well received in China, it made its full Olympic debut at the Summer Youth Olympic Games Buenos Aires 2018, where it took place at the Paseo de la Costa from 7 to 8 October.

For Buenos Aires 2018, each National Olympic Committee (NOC) could enter a maximum of two competitors, one per each gender. After the combined events of 500m sprint, 1,000m sprint and 5,000m elimination, it was the Colombians who swept the inaugural Olympic roller speed skating events, with Jhony Andres Angulo Reina and Gabriela Isabel Rueda each claiming the gold.",Which country dominated the roller speed skating events at the Summer Youth Olympic Games Buenos Aires 2018?,5,Argentina
skateboarding,"Skateboarding is a young and spectacular sport that developed in the US in the 1950s as surf culture was taking off. It was then part of the underground, alternative culture of the 1980s, going hand in hand with the values of freedom, rebellion and thrill-seeking. The sport continued to develop and became more widely accessible at the start of the 21st century, proving a huge hit among younger audiences.",What values were associated with skateboarding during its development in the 1980s?,4,"Individualism, creativity, nonconformity, freedom, rebellion."
skateboarding,"Brief Overview of the Rules

The world’s greatest skateboarders will face each other at the Olympic Games, competing in the two most popular and spectacular disciplines: park and street. Athletes must carry out their most impressive tricks, meeting criteria for the degree of difficulty, speed and range of moves.

The events consist of two rounds: prelims and finals.

The park competition takes place on a varied course combining bowls and numerous bends, which the athletes use to gather speed and perform tricks mid-air.

The skateboarders are judged by the height and speed of the tricks they carry out during jumps, as well as their capacity to use the entire surface and all obstacles. They perform three 45‑second runs, with the best of three counting as their final round score.

Street events take place on a straight ‘street-like’ course with stairs, handrails, etc. set up to resemble the urban environments where skateboarding started out. Athletes perform a range of tricks and are also judged on how they control their board during the two 45‑second runs and five tricks they carry out.","How are the skateboarders judged in the Olympic Games competition, and what criteria do they need to meet in order to score well?",5,"Skateboarders in the Olympic Games competition are judged based on several criteria, including difficulty, execution, height, speed, originality, variety, and consistency of their tricks. In order to score well, they need to perform complex and technical tricks with precision, land them cleanly without falls or bobbles, show creativity and style in their performance, and maintain a high level of consistency throughout their runs or tricks. Judges also take into account factors such as use of the course, flow, control, and overall performance."
skateboarding,"Olympic History

After making its Olympic debut at the Tokyo 2020 Olympic Games in 2021, skateboarding will once again be on the programme for Paris 2024, taking place at the famous Place de La Concorde in the heart of the French capital.",When did skateboarding make its Olympic debut?,5,Skateboarding made its Olympic debut at the 2020 Tokyo Olympics.
coastalrowing,"Coastal rowing is a competitive sport where crews race along a coastline. The two main disciplines of coastal rowing are an endurance version of the sport, which sees athletes compete over 6-8km, touring, which can last several days, and beach sprint rowing, which is contested over 600m and is the format set to make its Olympic debut at LA 2028.

Beach sprint rowing competitions begin on dry land, with an athlete running down the sand and into the sea before entering the boat, rowing a short distance as fast as possible, and then exiting the boat for a sprint back up the beach to the finish line. Coastal rowing takes place on the sea, ocean, or a large lake and, to combat the offshore waves, uses a wider, flatter boat than classic flat water rowing disciplines.",What is the format of the beach sprint rowing competitions in coastal rowing?,5,"In beach sprint rowing competitions in coastal rowing, rowers typically race over a straight course ranging from 250 meters to 1000 meters in length, starting from a standing or running position on the beach, sprinting to their boats, and then rowing out to a designated buoy or marker before returning to the beach to finish."
coastalrowing,"Where, when, and by whom was Coastal Rowing invented?

Evidence of coastal rowing goes back thousands of years, to around 1900 BC in Ancient Egypt. Competitive coastal rowing began in France in the 1980s. The first World Championships in the endurance form of coastal rowing took place in Cannes in 2007, with beach sprint racing becoming the newest World Rowing discipline in 2015, after being contested at the Mediterranean Beach Games in Italy. The first World Rowing Beach Sprint Finals took place in 2019.",When did competitive coastal rowing begin in France?,2,"Competitive coastal rowing likely began in France in the early to mid-19th century, as the sport of rowing has a long history in the country. However, the exact date of when competitive coastal rowing specifically began in France is not well-documented."
coastalrowing,"What are the rules of Coastal Rowing?

Beach sprint rowing races are usually 600m in total length. They begin on dry land, with an athlete from each team running 50m down a beach and into the water, where they enter their sculling boat. Each rower has two oars, and they row 250m straight towards a buoy anchored in the water. The athletes then row around the buoy to turn 180 degrees and continue the 250m back towards the shore, where they jump out of the boat, run up the beach and cross the finish line. The quickest team wins, and races are often held as head-to-head elimination contests. For pairs and quads competitions, a ‘runner’ is designated, who is the only athlete to start and end the race on the beach, and is often an expert at diving for the line.",What is the total length of a beach sprint rowing race in Coastal Rowing?,4,The total length of a beach sprint rowing race in Coastal Rowing is typically around 500 meters.
coastalrowing,"Coastal Rowing and the Olympics

Coastal rowing will make an Olympic debut at the Los Angeles 2028 Games, with medals being awarded in the beach sprint discipline.

Best Coastal Rowing athletes to watch out for
Many of the oarsmen and women who have excelled at classic flat water rowing have also taken part in Coastal Rowing competitions, and competitors often row in both the endurance and beach sprint disciplines of the sport. Ireland, Spain, the Netherlands, and Britain have excelled in recent years, and Olympic champion Helen Glover from Great Britain has a silver medal from the World Rowing Beach Sprint championships. Adrian Miramon Quiroga of Spain is a seven-time world champion known as the ‘King of the Beach’.",Which countries have excelled in Coastal Rowing competitions in recent years?,4,"Ireland, Italy, and France."
archery,"Archery is one of the oldest sports still practised today, and is closely linked to the development of human civilisation. Historically, archery has been used for hunting and warfare; the earliest evidence of its use comes from South African sites such as Sibudu Cave, where arrowheads dating from approximately 64,000 years ago have been found. The first recorded archery tournaments took place in the People's Republic of China during the Zhou dynasty (1027‑256 BC). In 1931, the sport evolved around the globe and the international archery federation—now known as World Archery—was founded.",What is the earliest evidence of archery being used for hunting and warfare?,5,"The earliest evidence of archery being used for hunting and warfare dates back to around 10,000 years ago during the Mesolithic period, based on archaeological findings of arrowheads and bow fragments."
archery,"Brief Overview of the Rules

Targets are 122cm in diameter and positioned 70m away from the archers, who must shoot their arrows as close to the centre of the target as possible in order to beat their opponents. Olympic archery comprises five events: two individual competitions for men and women, two team competitions (one each for men and women), and a mixed team competition, which returns to the programme after making its Olympic debut at Tokyo 2020.

Archery requires great concentration and dexterity; archers must overcome their nerves as a single mistake can prove costly in competition. Individual competitions at the Games begin with the ranking round, where each of the 64 archers shoot 72 arrows to determine their ranking for the single-elimination bracket. The athletes compete in this knockout system until the final according to their ranking, with the top‑ranked archer facing off against the 64th‑ranked archer, the second‑ranked against the 63rd‑ranked, and so on.

The team event uses the same ranking results from the individual competition to determine seeding for the teams; the top four teams receive a bye into the quarterfinals, while the rest of the field competes in a single-elimination bracket. The mixed team event also uses the results of the ranking round to qualify and seed teams.",How are archers ranked for the individual competition at the Olympic Games?,5,"Archers are ranked based on their performance in the ranking round, which takes place before the individual competition at the Olympic Games. In the ranking round, archers shoot a certain number of arrows at a specific target distance, and their total score determines their ranking. The higher the score, the higher the ranking."
archery,"Olympic History

Archery first featured at the Olympic Games at Paris 1900, and was contested again at the Games in St. Louis (1904), London (1908), and Antwerp (1920) before a 52-year hiatus from the Olympic programme.

Archery was reintroduced at the Games for the 1972 Summer Olympics in Munich and has remained on the Olympic programme ever since. The Republic of Korea has been the most successful nation in the sport at the Olympics, winning 27 gold, nine silver, and seven bronze medals for a total of 43 medals.",When was archery reintroduced to the Olympic Games after a 52-year hiatus?,5,Archery was reintroduced to the Olympic Games in 1973 after a 52-year hiatus.
artisticswimming,"The sport of artistic swimming developed by combining water acrobatics with music. Although the first contests were organised for men, artistic swimming later became more associated with women. After a number of demonstrations in the US in the early 20th century, the discipline grew in popularity and the first competitions were organised.",How did the sport of artistic swimming evolve and become more associated with women over time?,5,"The sport of artistic swimming evolved from synchronized swimming, which was initially created as a water ballet for exhibitions in the 19th century. As the sport progressed, it became more structured and competitive, leading to the formation of official teams and competitions. Over time, artistic swimming became more associated with women as they dominated the sport with their grace, flexibility, and synchronized movements. Additionally, the aesthetics and artistic elements of the sport attracted female athletes and audiences, further solidifying its association with women."
artisticswimming,"Brief Overview of the Rules

At the Olympic Games, the sport consists of two events: a duet and a team competition. The duet events consist of a technical routine and a free routine. An acrobatic routine is added for the team event. The events will take place on a 30 metres by 20 metres area and in a pool with a depth of 3 metres minimum.

The routines are scored by judges who take several criteria into account: level of difficulty, synchronization, execution and artistic impression.

Athletes need to propel themselves out of the water to perform certain movements or pivot with the upper half of their bodies underwater. The sport therefore requires great flexibility, power, attention to detail, and coordination.",What criteria do judges use to score synchronized swimming routines at the Olympic Games?,5,"Judges use criteria such as synchronization, difficulty, artistic impression, execution, and overall presentation to score synchronized swimming routines at the Olympic Games."
artisticswimming,"Olympic History

Artistic swimming became an Olympic discipline at the Los Angeles 1984 Olympic Games. At Paris 2024, male athletes will be allowed to compete in the sport for the first time in Olympic history in the team event.

The USA and Canada were initially the dominant force in artistic swimming at the Games, combining for 17 medals (including eight gold medals). Since the Sydney 2000 Games, the Russian Olympic Committee has become the top National Olympic Committee in the sport, winning 12 consecutive gold medals.",Which National Olympic Committee has been the top performer in artistic swimming at the Olympic Games since the Sydney 2000 Games?,5,Russia
lacrosse,"Lacrosse is a team sport where players try to shoot a solid rubber ball into the opposition goal using a stick with a net on its end.

Field lacrosse is a 10-a-side game played on a 100m x 55m pitch with a face-off starting proceedings and restarting the game after a goal. Extensive protective equipment is a must with sticks being wielded in mid-air in what is most definitely a contact sport.

But the version being contested at the Los Angeles 2028 Olympic Games is World Lacrosse Sixes which is played on a 70m x 36m pitch featuring goals 10m in from the end-lines.",What is the pitch size for World Lacrosse Sixes being contested at the Los Angeles 2028 Olympic Games?,5,"My best guess is that the pitch size for World Lacrosse Sixes being contested at the Los Angeles 2028 Olympic Games is likely a smaller field size compared to traditional lacrosse fields, given the faster pace and smaller team size of the Sixes format."
lacrosse,"By whom, where and when was Lacrosse invented?

Lacrosse is derived from a pastime of indigenous North American populations in the 12th century.

In aboriginal Canadian tradition, games were part of ritual and could last two or three days with teams comprising hundreds of men playing on a field several kilometres long.

Jesuit missionaries documented the sport of lacrosse in the 17th century with the Mohawk people reported as playing a game with a wooden ball and a stick with a hoop net in 1757.

Almost exactly 100 years later, dentist William George Beers founded the Montreal Lacrosse Club and codified the rules of the sport.",Who founded the Montreal Lacrosse Club and codified the rules of the sport in the 19th century?,4,William George Beers
lacrosse,"What are the rules of Lacrosse?

In World Lacrosse Sixes, five players plus a goalkeeper are drawn from a roster of 12 with games taking place over four eight-minute quarters.

The net at the end of the stick is used to carry, pass, catch and shoot with only goalkeepers allowed to touch the ball with their hands.

There is a shot clock of 30 seconds in which a team must make an attempt at goal or give up possession. A turnover also occurs if a team returns to its own half having moved into the attacking half.

Minor fouls result in a player being sent to the penalty box for 30 seconds with major fouls triggering a one-minute suspension.

At the end of the match, the team with most goals wins. In the event of a tie, there will be four-minute periods of sudden-death overtime until a goal is scored.",What is the shot clock time limit in World Lacrosse Sixes?,4,The shot clock time limit in World Lacrosse Sixes is 30 seconds.
lacrosse,"Lacrosse and the Olympics

Field lacrosse was played at previous Olympic Games but World Lacrosse Sixes is the propsed sport at Los Angeles 2028.

Men’s lacrosse was part of the St. Louis 1904 and London 1908 Olympic Games before making appearances as a demonstration sport at the Amsterdam 1928, Los Angeles 1932 and London 1948 Games.

Only three nations have previously contested Olympic lacrosse with Canada winning gold on both occasions.

Canada’s Winnipeg Shamrocks beat the United States to gold with the Mohawk Indians, also from Canada, taking bronze.

In 1908, Canada beat Great Britain in the only game in the competition to take a second gold.",Which two nations have won gold in men's lacrosse at the Olympic Games?,5,Canada and the United States.
lacrosse,"Best Lacrosse players to watch

The United States and Canada are the traditional powerhouses of field lacrosse although the latter have yet to win a women's world title. Australia are the only nation other than the United States to win the women's world crown, doing so twice in 1986 and 2005.

The two North American giants hold a duopoly over men's field lacrosse World Championships with the United States winning 11 titles to Canada's three.

But at the 2022 World Games in Birmingham, Alabama, where the World Lacrosse Sixes format was used, Canada beat the United States in both the men's and women's finals.

In the men's game, Canada's Zach Currier and Dhane Smith, and USA's Tom Schreiber, are leading players in both field and Sixes formats.

Veteran Dana Dobbie played a key role in Canada's women's World Games success with Aurora Cordingley another player equally adept in both formats.",Who are leading players in both the field and Sixes formats for Canada and the United States in men's lacrosse?,5,"For Canada, leading players in men's lacrosse could include players like Mark Matthews, Curtis Dickson, and Zach Currier. For the United States, players like Tom Schreiber, Rob Pannell, and Matt Rambo could be leading players in both the field and Sixes formats."
breaking,"Breaking is an urban dance style that originated in the United States in the 1970s. With roots in hip-hop culture, breaking first took form in the lively block parties in the Bronx borough of New York, and is characterised by acrobatic movements, stylised footwork, and the key role played by the DJ and the MC (master of ceremonies) during battles.

International competitions were first held in the 1990s, popularising the dance form both among hip-hop communities and the general public along the way.",What city in the United States is credited with being the birthplace of breaking?,5,New York City
breaking,"Brief Overview of the Rules

The breaking competition at the Paris 2024 Olympic Games comprises two events—one for men and one for women—where 16 B-Boys and 16 B-Girls will face off in spectacular solo battles. Athletes will use a combination of power moves—including windmills, the 6-step, and freezes—as they adapt their style and improvise to the beat of the DJ’s tracks in a bid to secure the judges’ votes and take home the first Olympic breaking medals.",What types of moves will athletes use in the breaking competition at the Paris 2024 Olympic Games?,5,"Athletes will use a combination of power moves, footwork, and freezes in the breaking competition at the Paris 2024 Olympic Games."
breaking,"Olympic History

Breaking featured at the Summer Youth Olympic Games in Buenos Aires in 2018. Following its outstanding success at the Games in Argentina, breaking was added to the Paris 2024 Olympic programme as a new sport.",What sport was featured at the Summer Youth Olympic Games in Buenos Aires in 2018 and later added to the Paris 2024 Olympic programme?,5,Breakdancing
modernpentathlon,"The modern pentathlon is the successor to the ancient pentathlon, which comprised running, jumping, javelin, discus and wrestling. Baron Pierre de Coubertin, founder of the modern Olympic Games, highly appreciated the pentathlon of the ancient Games. He proposed a similar competition that would test the strengths of a “complete” athlete, but involve more modern disciplines. The growing popularity of this sport resulted in the foundation of an international federation, the Union Internationale de Pentathlon Moderne (UIPM), in 1848. It currently has over 120 member nations.",What is the name of the international federation that governs the modern pentathlon?,5,The name of the international federation that governs the modern pentathlon is the Union Internationale de Pentathlon Moderne (UIPM).
modernpentathlon,"Brief Overview of the Rules

Modern pentathlon is made up of four events combining five sports:

- Riding, with a show jumping course on an unfamiliar horse that the athlete is allocated in a draw just 20 minutes before they compete.
- Fencing, which is split into two rounds: a ranking round where each athlete competes against each other athlete in a bout lasting one minute or until the first hit, and a second round based on the results of the first round. The format of the second round is single elimination, with each bout lasting 45 seconds. Points are scored for winning each bout.
- Swimming, with a 200m freestyle event.
- Running and shooting, with a laser-run where athletes alternate between running and shooting at five targets from a distance of 10m.
The modern pentathlon is divided into two sections. Firstly, athletes score points according to how they rank in the fencing, riding and swimming events, which decide their starting position for the laser run event. Secondly, during the laser-run, athletes start with a delay corresponding to the number of points between them and the leader. The first athlete to cross the finish line in the laser-run wins the gold medal.

Due to the diverse nature of the events involved, modern pentathlon is an extremely demanding sport that pushes athletes to their mental and physical limits and requires an exceptional variety of skills.",How is the winner of the modern pentathlon determined at the end of the competition?,5,"The winner of the modern pentathlon is determined by calculating points based on the performances of each athlete in the five events (fencing, swimming, show jumping, running, and shooting). The athlete with the highest total points at the end of all five events is declared the winner."
modernpentathlon,"Olympic History

Modern pentathlon was introduced to the Olympic programme in 1912 by Baron Pierre de Coubertin. Originally only one event was held per day before the events were brought together to be contested on the same day for a more exciting spectacle. The women’s event was introduced at the 2000 Olympic Games in Sydney. The discipline has long been dominated by European National Olympic Committees, particularly Hungary and Sweden, with the latter taking 13 out of 15 medals available between the Stockholm 1912 and Los Angeles 1932 Games.",Which two European National Olympic Committees have historically dominated the modern pentathlon discipline at the Olympics?,5,Hungary and Sweden
marathonswimming,"At the first three editions of the modern Olympic Games, all swimming events took place in a natural body of water prior to the inclusion of pools at the Games in 1908. Marathon swimming reappeared in 1991 when the discipline was officially introduced at the FINA World Swimming Championships (now known as the World Aquatics Championships); at the time, events were held over 25km and took over five hours to complete. The first time the 10km race was contested was at the World Swimming Championships in Fukuoka, Japan in 2001.",When was the 10km marathon swimming race first contested at the World Swimming Championships?,5,2001
marathonswimming,"Brief Overview of the Rules

Marathon swimming takes places in open water environments such as the sea, rivers and lakes. Athletes must complete a 10km course, which takes nearly two hours to complete; their endurance, physical strength and brain power are all put to the test.

An ability to adapt is also crucial; tides and currents change quickly at sea, and the athletes must consider this in their strategy. Using the right tactics for the course and conditions is therefore key. In the last 3km, swimmers begin to make their move for the finish line—how they manage their efforts becomes essential and is what ultimately influences the end result.",How does the changing tides and currents impact the strategies of marathon swimmers in open water environments?,4,"Marathon swimmers in open water environments must consider the changing tides and currents when planning their route and pacing during a swim. Strong currents can either work in their favor, aiding their speed and momentum, or work against them, making it more difficult to stay on course. Swimmers may need to adjust their stroke technique or breathing patterns to navigate through changing currents, and may also need to plan their rest stops and feeding schedules accordingly. Overall, understanding and adapting to the tides and currents is crucial in order for marathon swimmers to be successful in open water environments."
